ID,HV,C.al,C.co,C.cr,C.cu,C.fe,C.ni
7,139,0.0,0.25,0.25,0.0,0.25,0.25
48,295,0.153846154,0.307692308,0.153846154,0.076923077,0.153846154,0.153846154
108,545,0.222222222,0.111111111,0.0,0.222222222,0.222222222,0.222222222
146,701,0.428571429,0.214285714,0.071428571,0.071428571,0.071428571,0.142857143
37,207,0.090909091,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182
141,655,0.149925037,0.283358321,0.283358321,0.0,0.283358321,0.0
38,225,0.125,0.125,0.125,0.0,0.125,0.5
30,172,0.0,0.225,0.225,0.225,0.1,0.225
138,639,0.222222222,0.222222222,0.222222222,0.111111111,0.222222222,0.0
49,304,0.0625,0.0,0.3125,0.0,0.46875,0.15625
2,118,0.024390244,0.243902439,0.243902439,0.0,0.243902439,0.243902439
87,483,0.12,0.0,0.31,0.2,0.05,0.32
39,229,0.111111111,0.0,0.222222222,0.0,0.222222222,0.444444444
120,576,0.305555556,0.0,0.138888889,0.138888889,0.138888889,0.277777778
117,558,0.21257485,0.21257485,0.21257485,0.0,0.149700599,0.21257485
145,695,0.200400802,0.266533066,0.266533066,0.0,0.266533066,0.0
153,764,0.43204983,0.059456399,0.332955832,0.056625142,0.059456399,0.059456399
56,366,0.181818182,0.272727273,0.0,0.181818182,0.181818182,0.181818182
147,702,0.461538462,0.153846154,0.076923077,0.076923077,0.153846154,0.076923077
93,510,0.230769231,0.153846154,0.153846154,0.153846154,0.153846154,0.153846154
113,550,0.2375,0.05,0.2375,0.0,0.2375,0.2375
25,170,0.056603774,0.0,0.188679245,0.188679245,0.188679245,0.377358491
66,415,0.2,0.2,0.2,0.2,0.0,0.2
154,768,0.4,0.133333333,0.066666667,0.133333333,0.2,0.066666667
75,459,0.13,0.0,0.28,0.22,0.06,0.31
98,521,0.193548387,0.0,0.161290323,0.161290323,0.161290323,0.322580645
16,157,0.0,0.166666667,0.166666667,0.166666667,0.333333333,0.166666667
32,182,0.0,0.2375,0.2375,0.2375,0.05,0.2375
47,290,0.122807018,0.0,0.175438596,0.175438596,0.175438596,0.350877193
118,567,0.285714286,0.0,0.142857143,0.142857143,0.142857143,0.285714286
36,205,0.142857143,0.285714286,0.0,0.0,0.285714286,0.285714286
60,380,0.2,0.266666667,0.0,0.0,0.266666667,0.266666667
139,651,0.333333333,0.0,0.166666667,0.166666667,0.166666667,0.166666667
115,555,0.21257485,0.21257485,0.21257485,0.0,0.21257485,0.149700599
58,370,0.185185185,0.0,0.185185185,0.185185185,0.185185185,0.259259259
29,172,0.0,0.166666667,0.333333333,0.166666667,0.166666667,0.166666667
9,143,0.0,0.0,0.25,0.25,0.25,0.25
132,607,0.153846154,0.153846154,0.307692308,0.076923077,0.153846154,0.153846154
70,438,0.2375,0.2375,0.05,0.0,0.2375,0.2375
85,479,0.230769231,0.192307692,0.192307692,0.0,0.192307692,0.192307692
79,473,0.181818182,0.090909091,0.181818182,0.181818182,0.181818182,0.181818182
131,604,0.2,0.2,0.2,0.1,0.2,0.1
155,775,0.4,0.2,0.2,0.0,0.2,0.0
61,382,0.111111111,0.0,0.222222222,0.222222222,0.222222222,0.222222222
35,200,0.074074074,0.0,0.185185185,0.185185185,0.185185185,0.37037037
33,183,0.0,0.25,0.25,0.25,0.0,0.25
123,584,0.222222222,0.222222222,0.0,0.111111111,0.222222222,0.222222222
104,537,0.166666667,0.166666667,0.166666667,0.083333333,0.25,0.166666667
53,338,0.14893617,0.212765957,0.212765957,0.0,0.212765957,0.212765957
143,694,0.428571429,0.071428571,0.142857143,0.071428571,0.142857143,0.142857143
74,454,0.1,0.0,0.35,0.26,0.05,0.24
40,238,0.090909091,0.0,0.181818182,0.181818182,0.181818182,0.363636364
150,720,0.428571429,0.142857143,0.142857143,0.071428571,0.071428571,0.142857143
142,665,0.2375,0.2375,0.2375,0.0,0.05,0.2375
65,408,0.192307692,0.0,0.192307692,0.192307692,0.192307692,0.230769231
50,310,0.153846154,0.153846154,0.153846154,0.076923077,0.153846154,0.307692308
148,712,0.25,0.25,0.25,0.0,0.0,0.25
19,158,0.0,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333
124,586,0.2,0.2,0.2,0.1,0.1,0.2
144,695,0.384615385,0.153846154,0.153846154,0.0,0.153846154,0.153846154
99,527,0.183673469,0.204081633,0.204081633,0.0,0.204081633,0.204081633
105,538,0.179487179,0.205128205,0.205128205,0.0,0.205128205,0.205128205
127,593,0.333333333,0.0,0.133333333,0.133333333,0.133333333,0.266666667
8,140,0.0,0.266533066,0.266533066,0.0,0.266533066,0.200400802
12,150,0.0,0.1,0.225,0.225,0.225,0.225
46,280,0.08,0.17,0.17,0.08,0.17,0.33
4,127,0.090909091,0.227272727,0.227272727,0.0,0.227272727,0.227272727
80,475,0.050251256,0.316582915,0.316582915,0.0,0.316582915,0.0
22,166,0.142857143,0.428571429,0.0,0.142857143,0.142857143,0.142857143
77,469,0.11,0.0,0.28,0.27,0.06,0.28
94,510,0.21257485,0.21257485,0.149700599,0.0,0.21257485,0.21257485
76,469,0.12,0.0,0.31,0.21,0.05,0.31
88,486,0.208333333,0.0,0.208333333,0.208333333,0.208333333,0.166666667
11,149,0.069767442,0.0,0.23255814,0.0,0.23255814,0.465116279
126,591,0.428571429,0.142857143,0.071428571,0.071428571,0.071428571,0.214285714
134,615,0.2375,0.2375,0.2375,0.0,0.2375,0.05
110,546,0.2,0.2,0.1,0.1,0.2,0.2
140,655,0.358974359,0.128205128,0.128205128,0.128205128,0.128205128,0.128205128
41,242,0.142857143,0.142857143,0.142857143,0.0,0.142857143,0.428571429
125,587,0.225,0.225,0.225,0.0,0.1,0.225
18,158,0.0,0.225,0.1,0.225,0.225,0.225
107,544,0.264705882,0.0,0.147058824,0.147058824,0.147058824,0.294117647
122,580,0.23,0.15,0.23,0.08,0.15,0.16
71,441,0.1,0.0,0.35,0.24,0.05,0.26
121,576,0.285714286,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143
51,315,0.137931034,0.0,0.172413793,0.172413793,0.172413793,0.344827586
109,546,0.230769231,0.0,0.153846154,0.153846154,0.153846154,0.307692308
136,620,0.1,0.3,0.3,0.0,0.3,0.0
92,503,0.181818182,0.181818182,0.181818182,0.0,0.181818182,0.272727273
129,602,0.25,0.166666667,0.166666667,0.083333333,0.166666667,0.166666667
89,487,0.238095238,0.19047619,0.19047619,0.0,0.19047619,0.19047619
55,358,0.166666667,0.166666667,0.166666667,0.083333333,0.166666667,0.25
114,551,0.2,0.1,0.2,0.1,0.2,0.2
27,170,0.0,0.283358321,0.283358321,0.0,0.283358321,0.149925037
59,371,0.166666667,0.0,0.555555556,0.0,0.0,0.277777778
103,536,0.2,0.2,0.0,0.2,0.2,0.2
91,495,0.11,0.0,0.29,0.29,0.05,0.26
95,510,0.166666667,0.166666667,0.166666667,0.0,0.333333333,0.166666667
152,740,0.428571429,0.142857143,0.142857143,0.0,0.142857143,0.142857143
68,423,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0.090909091
20,161,0.0,0.21257485,0.149700599,0.21257485,0.21257485,0.21257485
21,162,0.038461538,0.0,0.192307692,0.192307692,0.192307692,0.384615385
101,532,0.166666667,0.333333333,0.166666667,0.0,0.166666667,0.166666667
69,430,0.25,0.25,0.0,0.0,0.25,0.25
1,110,0.058823529,0.235294118,0.235294118,0.0,0.235294118,0.235294118
133,609,0.307692308,0.153846154,0.153846154,0.076923077,0.153846154,0.153846154
111,548,0.225,0.225,0.225,0.0,0.225,0.1
5,131,0.085714286,0.228571429,0.228571429,0.0,0.228571429,0.228571429
112,550,0.242424242,0.0,0.151515152,0.151515152,0.151515152,0.303030303
116,558,0.264705882,0.147058824,0.147058824,0.147058824,0.147058824,0.147058824
97,516,0.2,0.2,0.2,0.0,0.2,0.2
64,392,0.166666667,0.0,0.166666667,0.166666667,0.166666667,0.333333333
14,154,0.0,0.25,0.0,0.25,0.25,0.25
57,367,0.181818182,0.181818182,0.090909091,0.181818182,0.181818182,0.181818182
82,476,0.225,0.225,0.1,0.0,0.225,0.225
42,249,0.166666667,0.333333333,0.0,0.166666667,0.166666667,0.166666667
72,450,0.117647059,0.0,0.294117647,0.0,0.441176471,0.147058824
73,451,0.166666667,0.25,0.166666667,0.083333333,0.166666667,0.166666667
135,617,0.166666667,0.166666667,0.333333333,0.0,0.166666667,0.166666667
28,171,0.0,0.21257485,0.21257485,0.21257485,0.149700599,0.21257485
